fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
36813.txt,18.0,2,"10,11|11,12|",0.1111111111111111,0.37287274999999998
19600.txt,21.0,3,"15,16|16,17|19,20|",0.14285714285714285,0.35149799999999998
103176.txt,48.0,6,"30,31|31,32|34,35|35,36|42,43|43,44|",0.125,0.37836700000000001
173485.txt,16.0,1,"2,3|",0.0625,0.37540974999999999
91448.txt,84.0,8,"15,16|34,35|35,36|41,42|42,43|46,47|57,58|70,71|",0.095238095238095233,0.33535875000000004
114378.txt,49.0,7,"32,33|33,34|34,35|39,40|40,41|41,42|42,43|",0.14285714285714285,0.38079000000000002
250569.txt,22.0,1,"17,18|",0.045454545454545456,0.23631700000000003
125628.txt,19.0,1,"3,4|",0.052631578947368418,0.28659200000000001
2388.txt,19.0,1,"8,9|",0.052631578947368418,0.35821550000000002
221384.txt,13.0,1,"6,7|",0.076923076923076927,0.27150799999999997
248332.txt,19.0,1,"13,14|",0.052631578947368418,0.36992249999999999
136126.txt,35.0,2,"11,12|21,22|",0.057142857142857141,0.18339650000000002
149094.txt,24.0,1,"7,8|",0.041666666666666664,0.31171700000000002
92800.txt,45.0,4,"12,13|18,19|21,22|29,30|",0.088888888888888892,0.347609
27705.txt,32.0,3,"14,15|19,20|23,24|",0.09375,0.35550800000000005
24224.txt,20.0,2,"5,6|18,19|",0.10000000000000001,0.23738024999999999
92196.txt,27.0,3,"1,2|10,11|25,26|",0.1111111111111111,0.36461199999999999
160348.txt,20.0,1,"12,13|",0.050000000000000003,0.39555750000000001
174329.txt,52.0,5,"10,11|13,14|22,23|34,35|51,52|",0.096153846153846159,0.34651324999999999
26341.txt,19.0,1,"10,11|",0.052631578947368418,0.33219500000000002
173446.txt,13.0,1,"7,8|",0.076923076923076927,0.345719
29714.txt,32.0,2,"28,29|29,30|",0.0625,0.32373474999999996
254041.txt,16.0,2,"14,15|15,16|",0.125,0.37538525
26432.txt,33.0,2,"15,16|25,26|",0.060606060606060608,0.25239800000000001
177153.txt,18.0,1,"17,18|",0.055555555555555552,0.35384150000000003
34750.txt,8.0,1,"7,8|",0.125,0.29196149999999998
37259.txt,36.0,5,"3,4|4,5|5,6|28,29|29,30|",0.1388888888888889,0.35183675000000003
123264.txt,13.0,2,"10,11|11,12|",0.15384615384615385,0.19914200000000001
206712.txt,17.0,1,"12,13|",0.058823529411764705,0.370952
73433.txt,41.0,4,"7,8|12,13|20,21|28,29|",0.097560975609756101,0.39511499999999999
136127.txt,40.0,4,"34,35|35,36|36,37|37,38|",0.10000000000000001,0.331793
264801.txt,22.0,2,"8,9|17,18|",0.090909090909090912,0.22798799999999997
196391.txt,50.0,4,"23,24|24,25|39,40|43,44|",0.080000000000000002,0.39232450000000002
201055.txt,23.0,2,"8,9|9,10|",0.086956521739130432,0.38491799999999998
259558.txt,17.0,2,"2,3|13,14|",0.11764705882352941,0.31351200000000001
136641.txt,29.0,4,"4,5|5,6|9,10|25,26|",0.13793103448275862,0.21360799999999999
263808.txt,24.0,3,"1,2|2,3|8,9|",0.125,0.38193599999999994
247772.txt,23.0,1,"18,19|",0.043478260869565216,0.33604050000000002
77899.txt,30.0,2,"16,17|27,28|",0.066666666666666666,0.32894200000000001
35472.txt,35.0,3,"8,9|26,27|34,35|",0.085714285714285715,0.38132449999999996
166937.txt,39.0,4,"8,9|11,12|21,22|31,32|",0.10256410256410256,0.3862795
191367.txt,22.0,2,"5,6|20,21|",0.090909090909090912,0.35506300000000002
84736.txt,32.0,2,"8,9|26,27|",0.0625,0.38612200000000002
